Projet (Nom Officiel);Projet (Nom de code);Objet Démonté;Objet Monté;Ombre démonté;Ombre Monté;Z-index Ombre;Z-index Objet;Position X div (Démonté);Position X div (Monté);Position Y div (Démonté);Position Y div (Monté);Largeur div (Démonté);Largeur div (Monté);Hauteur div (Démonté);Hauteur div (Monté);Position X div (Démonté) %;Position X div (Monté) %;Position Y div (Démonté) %;Position Y div (Monté) %;Largeur div (Démonté) %;Largeur div (Monté) %;Hauteur div (Démonté) %;Hauteur div (Monté) %;Thème
Firefly;Firefly;Firefly_dm;Firefly_m;Firefly_dm_o;Firefly_m_o;100;200;3014;3025;2654;1316;1094;615;499;1571;39,24479167;39,38802083;61,43518519;30,46296296;14,24479167;8,0078125;11,55092593;36,36574074;sombre
Break Shot;BreakShot;BreakShot_dm;BreakShot_m;BreakShot_dm_o;BreakShot_m_o;10;110;2465;2559;955;1233;2623;2689;1734;1447;32,09635417;33,3203125;22,10648148;28,54166667;34,15364583;35,01302083;40,13888889;33,49537037;sombre
Monolith;Monolith;Monolith_dm;Monolith_m;Monolith_dm_o;Monolith_m_o;80;180;1331;1515;1916;1060;1124;616;678;1331;17,33072917;19,7265625;44,35185185;24,53703704;14,63541667;8,020833333;15,69444444;30,81018519;clair
Eden;Eden;Eden_dm;Eden_m;Eden_dm_o;Eden_m_o;90;190;1838;2272;2447;1350;1266;526;406;1280;23,93229167;29,58333333;56,64351852;31,25;16,484375;6,848958333;9,398148148;29,62962963;clair
Pulse;Pulse;Pulse_dm;Pulse_m;Pulse_dm_o;Pulse_m_o;30;130;4140;4126;2740;2370;346;122;165;308;53,90625;53,72395833;63,42592593;54,86111111;4,505208333;1,588541667;3,819444444;7,12962963;clair
Hermès Birkin Sport;Birkin;Birkin_dm;Birkin_m;Birkin_dm_o;Birkin_m_o;60;160;5039;5047;2542;2434;845;835;425;503;65,61197917;65,71614583;58,84259259;56,34259259;11,00260417;10,87239583;9,837962963;11,64351852;clair
The Cube;Cube;Cube_dm;Cube_m;Cube_dm_o;Cube_m_o;50;150;4557;4467;2120;1995;778;781;721;890;59,3359375;58,1640625;49,07407407;46,18055556;10,13020833;10,16927083;16,68981481;20,60185185;clair
Osmose;Osmose;Osmose_dm;Osmose_m;Osmose_dm_o;Osmose_m_o;40;140;5276;5387;1502;1493;857;605;1336;1253;68,69791667;70,14322917;34,76851852;34,56018519;11,15885417;7,877604167;30,92592593;29,00462963;clair
Insight;Insight;Insight_dm;Insight_m;Insight_dm_o;Insight_m_o;70;170;4365;4555;2852;2465;1034;735;345;575;56,8359375;59,30989583;66,01851852;57,06018519;13,46354167;9,5703125;7,986111111;13,31018519;sombre
ID;ID;ID_dm;ID_m;ID_dm_o;ID_m_o;20;120;3956;3956;2405;2405;173;173;289;289;51,51041667;51,51041667;55,6712963;55,6712963;2,252604167;2,252604167;6,689814815;6,689814815;clair
